ObjId,DocumentType,DocId,DocketId,Title,Food,Tobacco
0900006481951d18,Supporting & Related Material,FDA-2011-F-0171-0198,FDA-2011-F-0171,"reference 7- ""2012 state of the vending industry report, 2013,” automatic merchandiser re food labeling; calorie labeling of articles of food in vending machines",1,0
0900006481951d19,Supporting & Related Material,FDA-2011-F-0171-0199,FDA-2011-F-0171,reference 8 - national automatic merchandising association. comments of: the national automatic merchandising association. docket no. fda-2010-n-0298. 2010 re food labeling; calorie labeling of articles of food in vending machines,1,0
0900006481973980,Supporting & Related Material,FDA-2011-F-0171-0207,FDA-2011-F-0171,"tab c final rule impact analysis, final regulatory action as cleared by oira re food labeling; calorie labeling of articles of food in vending machines (final rule); publication date: december 1, 2014",1,0
0900006480c19867,Supporting & Related Material,FDA-2011-F-0171-0005,FDA-2011-F-0171,"reference 2 -  ""food and drug administration, food labeling guide"" - [food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule] re fda-2011-f-0171-0001",1,0
0900006480c19ccc,Supporting & Related Material,FDA-2011-F-0171-0011,FDA-2011-F-0171,"reference list - [preliminary regulatory impact analysis, march 2011, food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule, re fda-2011-f-0171-0001]",1,0
0900006480c1a0ec,Supporting & Related Material,FDA-2011-F-0171-0020,FDA-2011-F-0171,"reference 39 - ""u.s. census bureau, statistical abstract of the united states: 2011"" - [preliminary regulatory impact analysis, march 2011, food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule, re fda-2011-f-0171-0001]",1,0
090000648214c3f7,Supporting & Related Material,FDA-2011-F-0171-0276,FDA-2011-F-0171,"reference 1 - letter from karin f. r. moore from gma march 2016 re food labeling; calorie labeling of articles of food in vending machines;
extension of compliance date",1,0
090000648217a73b,Other,FDA-2011-F-0171-0282,FDA-2011-F-0171,guidance for industry calorie labeling of articles of food in vending machines - small entity compliance guide,1,0
090000648197397f,Supporting & Related Material,FDA-2011-F-0171-0206,FDA-2011-F-0171,"tab b final rule impact analysis (fria) substantive changes between the draft submitted to oira for review and the regulatory action subsequently cleared by oira re food labeling; calorie labeling of articles of food in vending machines (final rule); publication date: december 1, 2014",1,0
090000648214c3f9,Supporting & Related Material,FDA-2011-F-0171-0278,FDA-2011-F-0171,"reference 2a - attachment to letter from karin moore of gma june 2016 re food labeling; calorie labeling of articles of food in vending machines;
extension of compliance date",1,0
0900006482178bd6,Notice,FDA-2011-F-0171-0281,FDA-2011-F-0171,"calorie labeling of articles of food in vending machines; draft guidance for
industry; availability",1,0
0900006480c19866,Supporting & Related Material,FDA-2011-F-0171-0004,FDA-2011-F-0171,"reference 1 -  ""merriam webster collegiate dictionary, tenth edition, 1993"" - [food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule] re fda-2011-f-0171-0001",1,0
0900006480c19865,Supporting & Related Material,FDA-2011-F-0171-0003,FDA-2011-F-0171,"reference list - ""vending machine labeling"" - [food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule] re fda-2011-f-0171-0001",1,0
0900006480c19881,Supporting & Related Material,FDA-2011-F-0171-0009,FDA-2011-F-0171,"reference 28 - ""eastern research group, inc., evaluation of recordkeeping costs for food manufacturers, final report” "" - [food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule] re fda-2011-f-0171-0001",1,0
0900006480c19ccb,Supporting & Related Material,FDA-2011-F-0171-0010,FDA-2011-F-0171,"preliminary regulatory impact analysis, march 2011, food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule, re fda-2011-f-0171-0001",1,0
0900006480c1a0c8,Supporting & Related Material,FDA-2011-F-0171-0013,FDA-2011-F-0171,"reference 3 - ""u.s. small business administration, table of small business size standards matched to north american industry classification system codes,” effective november 5, 2010"" - [preliminary regulatory impact analysis, march 2011, food labeling; food labeling; calorie labeling of articles of food in vending machines; proposed rule, re fda-2011-f-0171-0001]",1,0
0900006481fdeb39,Supporting & Related Material,FDA-2012-N-1210-0900,FDA-2012-N-1210,reference index for revision of the nutrition and supplement facts labels final rule re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fded9a,Supporting & Related Material,FDA-2012-N-1210-0953,FDA-2012-N-1210,reference 17 lifestyle interventions to reduce cardiovascular risk re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdeda1,Supporting & Related Material,FDA-2012-N-1210-0946,FDA-2012-N-1210,"reference 24 iom dri for energy, chapter 5 re food labeling: revision of the nutrition and supplement facts labels",1,0
0900006481fdeda2,Supporting & Related Material,FDA-2012-N-1210-0945,FDA-2012-N-1210,reference 25 iom dris - guiding principles for nutrition re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdee0a,Supporting & Related Material,FDA-2012-N-1210-0979,FDA-2012-N-1210,reference 47 association between omega-3 fatty a re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdee0b,Supporting & Related Material,FDA-2012-N-1210-0978,FDA-2012-N-1210,reference 48 seafood omega-3 intake and risk of coronary he re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdee0e,Supporting & Related Material,FDA-2012-N-1210-0975,FDA-2012-N-1210,reference 51 long-chain omega-3 fatty acids eic re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdee0f,Supporting & Related Material,FDA-2012-N-1210-0974,FDA-2012-N-1210,reference 52 scientific opinion labelling reference intake re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdee11,Supporting & Related Material,FDA-2012-N-1210-0972,FDA-2012-N-1210,"reference 54 dietary cholesterol from eggs increases the ratio of total cholesterol to high-density lipoprotein cholesterol in humans, a meta-analysis re food labeling: revision of the nutrition and supplement facts labels",1,0
0900006481fdee63,Supporting & Related Material,FDA-2012-N-1210-1028,FDA-2012-N-1210,reference 110 expert memo no1_5_11_16 re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf075,Supporting & Related Material,FDA-2012-N-1210-1148,FDA-2012-N-1210,reference 162 anthropometric reference data for c re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf07e,Supporting & Related Material,FDA-2012-N-1210-1140,FDA-2012-N-1210,reference 170 fda 2004 and 2005 health and diet survey re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf131,Supporting & Related Material,FDA-2012-N-1210-0882,FDA-2012-N-1210,reference 016-02 reformulation cost model re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf135,Supporting & Related Material,FDA-2012-N-1210-0878,FDA-2012-N-1210,reference 016-06 out of control: visceral influences on behavior re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf13a,Supporting & Related Material,FDA-2012-N-1210-0926,FDA-2012-N-1210,"reference 16-11 do dietary intakes affect search for nutrient information
on food labels? re food labeling: revision of the nutrition and supplement facts labels",1,0
0900006481fdf141,Supporting & Related Material,FDA-2012-N-1210-0919,FDA-2012-N-1210,"reference 16-18 attention capture and transfer in advertising: brand, pictorial, and text-size effects re food labeling: revision of the nutrition and supplement facts labels",1,0
0900006481fdf18d,Supporting & Related Material,FDA-2012-N-1210-0911,FDA-2012-N-1210,reference 16-26 health with special feature on socioeconomic status and health re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf190,Supporting & Related Material,FDA-2012-N-1210-0908,FDA-2012-N-1210,reference 16-29 status of nutrition labeling re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf5ba,Supporting & Related Material,FDA-2012-N-1210-1099,FDA-2012-N-1210,reference 155 ileal and faecal protein digesti re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf6b2,Supporting & Related Material,FDA-2012-N-1210-1157,FDA-2012-N-1210,reference 208-the requirement of magnesium by the normal adu re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf6b6,Supporting & Related Material,FDA-2012-N-1210-1153,FDA-2012-N-1210,"reference 212-magnesium, nature's physiologic calcium blocke re food labeling: revision of the nutrition and supplement facts labels",1,0
0900006481fdf6b8,Supporting & Related Material,FDA-2012-N-1210-1207,FDA-2012-N-1210,reference 214-dorup-1993-correlation between magnesium and p re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf6c0,Supporting & Related Material,FDA-2012-N-1210-1199,FDA-2012-N-1210,reference 222-usda_labeling re food labeling: revision of the nutrition and supplement facts labels,1,0
0900006481fdf6f3,Supporting & Related Material,FDA-2012-N-1210-1183,FDA-2012-N-1210,"reference 238-iom_dri for folate, chapter 8 re food labeling: revision of the nutrition and supplement facts labels",1,0
0900006481fdf6f4,Supporting & Related Material,FDA-2012-N-1210-1182,FDA-2012-N-1210,"reference 239-the calcium quandary, how consumers use nutrit re food labeling: revision of the nutrition and supplement facts labels",1,0
090000648172d7b5,Supporting & Related Material,FDA-1995-N-0063-0140,FDA-1995-N-0063,reference 52 summary of findings,0,0
090000648172d7c4,Supporting & Related Material,FDA-1995-N-0063-0145,FDA-1995-N-0063,reference 57 jensen and jensen invited review specialty lipids for infant nutrition i. milks and formulas,0,0
090000648172d766,Supporting & Related Material,FDA-1995-N-0063-0114,FDA-1995-N-0063,reference 26 no material submitted,0,0
090000648172d769,Supporting & Related Material,FDA-1995-N-0063-0117,FDA-1995-N-0063,reference 29 ronald f tetzlaff gmp documentation requirements for automated systems part 1,0,0
090000648172d770,Supporting & Related Material,FDA-1995-N-0063-0121,FDA-1995-N-0063,reference 33 salmonella ealing inspections associated with consumption of infant dired milk,0,0
090000648172d7a2,Supporting & Related Material,FDA-1995-N-0063-0125,FDA-1995-N-0063,reference 37 farber and peterkin listeria monocytogenes a food borne pathogen,1,0
090000648172d7aa,Supporting & Related Material,FDA-1995-N-0063-0133,FDA-1995-N-0063,reference 45 jackson et al control of salmonellosis and similar foodborne infections,0,0
090000648056cbdb,Supporting & Related Material,FDA-1995-N-0063-0007,FDA-1995-N-0063,background material from unknown submitter,0,0
090000648056cbe4,Supporting & Related Material,FDA-1995-N-0063-0008,FDA-1995-N-0063,background material from unknown submitter,0,0
090000648172d767,Supporting & Related Material,FDA-1995-N-0063-0115,FDA-1995-N-0063,reference 27 ieee standard glossary of software engineering terminology,0,0
090000648172d76e,Supporting & Related Material,FDA-1995-N-0063-0119,FDA-1995-N-0063,"reference 31 ronald f tetzlaff gmp documentation requirements for automated systems part 3, fda inspections of computerized laboratory systems",0,0
090000648172de15,Supporting & Related Material,FDA-1995-N-0063-0155,FDA-1995-N-0063,reference 69 shenai et al nutritional balance studies in very low-birth- weight infants: role of soy formula,0,0
090000648172de16,Supporting & Related Material,FDA-1995-N-0063-0156,FDA-1995-N-0063,reference 70 lindroth et al rickets in very low birthweight infants,0,0
090000648174e748,Supporting & Related Material,FDA-1995-N-0063-0169,FDA-1995-N-0063,reference 81 minton et al bone mineral content in term and preterm appropriate-for-gestational-age infants,0,0
090000648174e74f,Supporting & Related Material,FDA-1995-N-0063-0176,FDA-1995-N-0063,"reference 88 memorandum of telephone conversation between ed puro, fda, and mary hudtloff dated march 15, 1994",0,0
09000064817368eb,Supporting & Related Material,FDA-1995-N-0063-0051,FDA-1995-N-0063,"reference 1 - fda. current good manufacturing practices, quality control procedures, quality factors, notification requirements, and records and reports, for infant formula. regulatory impact analysis for final rule - current good manufacturing practices, quality control procedures, quality factors, notification requirements, and records and reports, for infant formula",0,0
090000648172d7c5,Supporting & Related Material,FDA-1995-N-0063-0159,FDA-1995-N-0063,reference 58 ziegler et al cow milk feeding in infancy: further observations on blood loss from the gastrointestinal tract,0,0
090000648172d7c7,Supporting & Related Material,FDA-1995-N-0063-0147,FDA-1995-N-0063,reference 60 infant formula act of 1980 report by the committee on labor and human resources united states senate,0,0
090000648056cb0f,Notice,FDA-1995-N-0063-0041,FDA-1995-N-0063,agency information collection activities: proposed collection; extension,0,0
090000648056cb1b,Other,FDA-1995-N-0063-0045,FDA-1995-N-0063,request for extension of comment period from international formula council,0,0
090000648056cb75,Supporting & Related Material,FDA-1995-N-0063-0096,FDA-1995-N-0063,attachment on basis and context  of sample growth trial protocol comment from international formula council,0,0
090000648056cb73,Supporting & Related Material,FDA-1995-N-0063-0095,FDA-1995-N-0063,attachment g guidelines concerning notification and testing of  infant formulas comment from international formula council,0,0
090000648056cc22,Supporting & Related Material,FDA-1995-N-0063-0107,FDA-1995-N-0063,appendix a3 comment from international formula council,0,0
090000648056cbd5,Supporting & Related Material,FDA-1995-N-0063-0005,FDA-1995-N-0063,background material from unknown submitter,0,0
090000648172de12,Supporting & Related Material,FDA-1995-N-0063-0160,FDA-1995-N-0063,reference 66 koletzko et al intestinal milk - bolus obstruction in formula-fed premature infants given high doses of calcium,0,0
0900006481822218,Notice,FDA-2008-N-0334-0012,FDA-2008-N-0334,"postmarketing safety reports for human drug and biological products;
electronic submission requirements; correction",0,0
0900006482c21dfe,Notice,FDA-2008-N-0334-0016,FDA-2008-N-0334,agency information collection activities; proposed collection; comment request; postmarketing safety reports for human drug and biological products: electronic submission requirements,0,0
09000064817358ac,Other,FDA-2008-N-0334-0010,FDA-2008-N-0334,guidance for industry providing submissions in electronic format - postmarketing safety reports-postmarketing safety reports for human drug and biological products; electronic submission requirements,0,0
090000648186336a,Rule,FDA-2008-N-0334-0014,FDA-2008-N-0334,"postmarketing safety reports for human drug and biological products;
electronic submission requirements; corrections",0,0
09000064817358ae,Supporting & Related Material,FDA-2008-N-0334-0011,FDA-2008-N-0334,reference 1 postmarketing safety reports for human drug and biological products; electronic submission requirements; final rule - administrative practices and procedures; drugs; labeling; medical devices; reporting and recordkeeping requirements; confidential business information; over-the-counter drugs; biologics,0,0
09000064818633f4,Rule,FDA-2008-N-0334-0013,FDA-2008-N-0334,"postmarketing safety reports for human drug and biological products;
electronic submission requirements; correction",0,0
0900006481734bb1,Rule,FDA-2008-N-0334-0009,FDA-2008-N-0334,"postmarketing safety reports for human drug and biological products;
electronic submission requirements",0,0
0900006482f06070,Notice,FDA-2008-N-0334-0017,FDA-2008-N-0334,"agency information collection activities; submission for office of
management and budget review; comment request; postmarketing
safety reports for human drug and biological products: electronic
submission requirements",0,0
0900006481b04f02,Rule,FDA-2008-N-0334-0015,FDA-2008-N-0334,"postmarketing safety reports for human drug and biological products;
electronic submission requirements; delay of compliance date; safety
reporting portal of electronic submission of postmarketing safety
reports for human drugs and nonvaccine biological products",0,0
0900006480a0f0ed,Proposed Rule,FDA-2008-N-0334-0001,FDA-2008-N-0334,postmarketing safety reports for human drug and biological products; electronic submission requirements,0,0
0900006481fac540,Proposed Rule,FDA-2011-F-0172-0613,FDA-2011-F-0172,"a labeling guide for restaurants and retail establishments selling away-
from-home foods—part ii (menu labeling requirements in accordance
with the patient protection affordable care act of 2010); guidance for
industry; availability",0,0
090000648290aa13,Supporting & Related Material,FDA-2011-F-0172-1762,FDA-2011-F-0172,article c flexibility in font size re: comment from publix,0,0
09000064826abbd7,Other,FDA-2011-F-0172-0725,FDA-2011-F-0172,final regulatory impact analysis on food labeling; nutrition labeling of standard menu items in restaurants and similar retail food establishments; extension of compliance date and request for comments,1,0
0900006482963502,Supporting & Related Material,FDA-2011-F-0172-2281,FDA-2011-F-0172,reference letter from p. larkin of nga concerning pending  nutrition r 2017-1614...,0,0
090000648323dcc8,Rule,FDA-2011-F-0172-2905,FDA-2011-F-0172,menu labeling: supplemental guidance for industry; availability,0,0
09000064827b3d3d,Other,FDA-2011-F-0172-1175,FDA-2011-F-0172,letter menu extension to nra dtd 6-28-2017,0,0
0900006480c1aa11,Supporting & Related Material,FDA-2011-F-0172-0049,FDA-2011-F-0172,"reference 67 - ""u.s. census bureau, sectors 44-45: sub: single unit & multiunit firms for the u.s:2007"" - [preliminary regulatory impact analysis, march 2011, food labeling:nutrition labeling of standard menu items in restaurants and similar retail food establishments notice of proposed rulemaking re fda-2011-f-0172-0001]",1,0
0900006480c1aa4a,Supporting & Related Material,FDA-2011-F-0172-0055,FDA-2011-F-0172,"reference 75 - ""bureau of transportation statistics, appendix d – modal profiles, rail profile"" - [preliminary regulatory impact analysis, march 2011, food labeling:nutrition labeling of standard menu items in restaurants and similar retail food establishments notice of proposed rulemaking re fda-2011-f-0172-0001]",1,0
0900006480c197bf,Supporting & Related Material,FDA-2011-F-0172-0024,FDA-2011-F-0172,"reference list - [preliminary regulatory impact analysis, march 2011, food labeling:nutrition labeling of standard menu items in restaurants and similar retail food establishments notice of proposed rulemaking re fda-2011-f-0172-0001]",1,0
0900006480c1a599,Supporting & Related Material,FDA-2011-F-0172-0017,FDA-2011-F-0172,"reference 35 - ""ogden, et al., prevalence of overweight, obesity, and extreme obesity among adults: united states, trends 1976–1980 through 2007–2008"" - [food labeling: nutrition labeling of standard menu items in restaurants and similar retail re fda-2011-f-0172-0001]",1,0
0900006480c1a5a4,Supporting & Related Material,FDA-2011-F-0172-0018,FDA-2011-F-0172,"reference 44 - ""usda, ers, table 1: food and alcoholic beverages: total expenditures,  food cpi and expenditures: food expenditure tables"" - [food labeling: nutrition labeling of standard menu items in restaurants and similar retail re fda-2011-f-0172-0001]",1,0
0900006480c1a5aa,Supporting & Related Material,FDA-2011-F-0172-0022,FDA-2011-F-0172,"reference 50 - ""npd group, fda report, recount restaurant census, spring 2010"" - [food labeling: nutrition labeling of standard menu items in restaurants and similar retail re fda-2011-f-0172-0001]",1,0
0900006480c1a9b5,Supporting & Related Material,FDA-2011-F-0172-0025,FDA-2011-F-0172,"reference 2 - ""us census bureau, county business patterns, united states naics 722 2000-2008"" - [preliminary regulatory impact analysis, march 2011, food labeling:nutrition labeling of standard menu items in restaurants and similar retail food establishments notice of proposed rulemaking re fda-2011-f-0172-0001]",1,0
0900006480c1a9c7,Supporting & Related Material,FDA-2011-F-0172-0027,FDA-2011-F-0172,"reference 20 - ""u.s. department of health and human services and u.s. department of agriculture, 2010 dietary guidelines for americans"" - [preliminary regulatory impact analysis, march 2011, food labeling:nutrition labeling of standard menu items in restaurants and similar retail food establishments notice of proposed rulemaking re fda-2011-f-0172-0001]",1,0
0900006480c1a9f3,Supporting & Related Material,FDA-2011-F-0172-0039,FDA-2011-F-0172,"reference 37 - ""technomic inc., fda report"" - [preliminary regulatory impact analysis, march 2011, food labeling:nutrition labeling of standard menu items in restaurants and similar retail food establishments notice of proposed rulemaking re fda-2011-f-0172-0001]",1,0
0900006482441831,Supporting & Related Material,FDA-2011-F-0172-0620,FDA-2011-F-0172,"food labeling:nutrition labeling of standard menu items in restaurants and similar retail food establishments final regulatory impact analysis
fda–2011–f–0172",1,0
0900006482590936,Rule,FDA-2011-F-0172-0621,FDA-2011-F-0172,"food labeling; nutrition labeling of standard menu items in 
restaurants and similar retail food establishments; extension of 
compliance date; request for comments",1,0
09000064824412de,Rule,FDA-2011-F-0172-0619,FDA-2011-F-0172,food labeling: nutrition labeling of standard menu items in restaurants and similar retail food establishments; extension of compliance date,1,0
0900006482963506,Supporting & Related Material,FDA-2011-F-0172-2285,FDA-2011-F-0172,reference ltr to sec price re 040717 menu labling,0,0
090000648197401a,Other,FDA-2011-F-0172-0547,FDA-2011-F-0172,"omb executive order 12866 regulatory planning and review re food labeling; nutrition labeling of standard menu items in restaurants and similar retail food establishments (final rule); publication date: december 1, 2014",1,0
0900006480c1cf20,Proposed Rule,FDA-2011-F-0172-0001,FDA-2011-F-0172,food labeling: nutrition labeling of standard menu items in restaurants and similar retail food establishments,1,0
090000648197401f,Supporting & Related Material,FDA-2011-F-0172-0551,FDA-2011-F-0172,"tab a menu (fria), draft regulatory action as submitted to the office of management and budget's (omb) office of information and regulatory affairs (oira) for review re omb executive order 12866 regulatory planning and review re food labeling; nutrition labeling of standard menu items in restaurants and similar retail food establishments (final rule); publication date: december 1, 2014",1,0
0900006481974020,Supporting & Related Material,FDA-2011-F-0172-0552,FDA-2011-F-0172,"tab b menu final rule impact analysis (fria) substantive changes between the draft submitted to oira for review and the regulatory action subsequently cleared by oira re omb executive order 12866 regulatory planning and review re food labeling; nutrition labeling of standard menu items in restaurants and similar retail food establishments (final rule); publication date: december 1, 2014",1,0
090000648195229f,Supporting & Related Material,FDA-2011-F-0172-0537,FDA-2011-F-0172,"reference 39- fda, ""regulatory procedures manual,"" chapter 4. re food labeling; nutrition labeling of standard menu items in restaurants and similar retail food establishments.",1,0
09000064819522a0,Supporting & Related Material,FDA-2011-F-0172-0538,FDA-2011-F-0172,"reference 40 - fda, ""regulatory procedures manual,"" chapter 6, section 5. re food labeling; nutrition labeling of standard menu items in restaurants and similar retail food establishments.",1,0
0900006480aabaa3,Other,FDA-2008-N-0115-0003,FDA-2008-N-0115,"omb review, executive order 12866 published 2/19/2010 - [reporting information regarding falsification of data] - reference",0,0
090000648378011d,Proposed Rule,FDA-2008-N-0115-0050,FDA-2008-N-0115,use of materials derived from cattle in medical products intended for use in humans and drugs intended for use in ruminants; reporting information regarding falsification of data,0,0
0900006480aa8374,Proposed Rule,FDA-2008-N-0115-0001,FDA-2008-N-0115,reporting information regarding falsification of data,0,0
09000064805d46ca,Supporting & Related Material,FDA-1997-D-0494-0001,FDA-1997-D-0494,see fda-1997-d-0494-0002,0,0
0900006480900aec,Notice,FDA-1997-D-0494-0002,FDA-1997-D-0494,guidance for fda and industry: direct final rule procedures,0,0
0900006480900ab4,Other,FDA-1997-D-0494-0003,FDA-1997-D-0494,guidance for fda industry direct final rule procedures; guidance document,0,0
0900006480ead32d,Supporting & Related Material,FDA-2010-N-0568-0266,FDA-2010-N-0568,"reference 38 - ""farber, et at, ""secondhand tobacco smoke in children with asthma: sources of and parental perceptions about exposure in children and parental readiness to change"" - [required warnings for cigarette packages and advertisements; final rule]",0,1
0900006480eb4ab6,Supporting & Related Material,FDA-2010-N-0568-0693,FDA-2010-N-0568,"reference 66 - ""fiore, m.c., jaen c.r., baker t.r, et al., treating tobacco use and dependence: 2008 update, rockville, md: u.s. department of health and human services, public health service"" - [required warnings for cigarette packages and advertisements; final rule]",0,1
0900006480eb61e0,Supporting & Related Material,FDA-2010-N-0568-0735,FDA-2010-N-0568,"reference 167 - ""u.s. department of the treasury, daily treasury long-term rate data, daily treasury real long- term rates"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
0900006480eb5d6a,Supporting & Related Material,FDA-2010-N-0568-0708,FDA-2010-N-0568,"reference 128 - ""national center for health statistics (u.s. department of health and human services), national health interview survey: questionnaires, datasets and related documentation, 1997 to the present"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
0900006480eb5da1,Supporting & Related Material,FDA-2010-N-0568-0712,FDA-2010-N-0568,"reference 136 - ""arias, e., united states life tables, 2006, national vital statistics reports, 58(21); june 28, 2010"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
0900006480eb5dc7,Supporting & Related Material,FDA-2010-N-0568-0714,FDA-2010-N-0568,"reference 142 - ""u.s. department ofcommerce, census bureau 2008, national cancer institute and centers for disease control and prevention co-sponsored tobacco use supplement to the current population survey 2006-2007"" - [required warnings for cigarette packages and advertisements; final rule]",0,1
0900006480b87423,Proposed Rule,FDA-2010-N-0568-0001,FDA-2010-N-0568,required warnings for cigarette packages and advertisements,0,0
0900006480eb555a,Supporting & Related Material,FDA-2010-N-0568-0697,FDA-2010-N-0568,"reference 89 - ""u.s. department of health and human services, ending the tobacco epidemic: a tobacco control strategic action plan for the u.s. department of health and human services, nov. 10, 2010"" - [required warnings for cigarette packages and advertisements; final rule]",0,1
0900006480e9ea5d,Supporting & Related Material,FDA-2010-N-0568-0261,FDA-2010-N-0568,"reference 17 - ""u.s. department of health and human services, the health consequences of involuntary exposure to tobacco smoke,  a report of the surgeon general; 2006"" - [required warnings for cigarette packages and advertisements; final rule]",0,1
0900006480bb0be7,Notice,FDA-2010-N-0568-0006,FDA-2010-N-0568,required warnings for cigarette packages and advertisements; research report,0,0
0900006480bad0e1,Supporting & Related Material,FDA-2010-N-0568-0008,FDA-2010-N-0568,"(1) experimental study of graphic cigarette warning labels, final results report, december 2010 - [required warnings for cigarette packages and advertisements; research report] re fda-2010-n-0568-0006",0,0
0900006480eb555d,Supporting & Related Material,FDA-2010-N-0568-0700,FDA-2010-N-0568,"reference 92 - ""ntla research preview, digital nation: expanding internet usage, u.s. department of commerce: national telecommunications and information administration, february 2011"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
0900006480eb556c,Supporting & Related Material,FDA-2010-N-0568-0702,FDA-2010-N-0568,"reference 102 - ""u.s. census bureau, language use and english-speaking ability: 2000,"" october 2003"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
0900006480eb61de,Supporting & Related Material,FDA-2010-N-0568-0733,FDA-2010-N-0568,"reference 165- ""tax foundation, state sales, gasoline, cigarette and alcohol tax rates by state, 2000-2010"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
0900006480eb61e3,Supporting & Related Material,FDA-2010-N-0568-0738,FDA-2010-N-0568,"reference 170 - ""u.s department of agriculture, foreign agricultural service, global agricultural trade system"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
0900006480eb63b6,Supporting & Related Material,FDA-2010-N-0568-0744,FDA-2010-N-0568,"reference 178 - ""jamison, n., et al., federal and state cigarette excise taxes--united states, 1995-2009, morbidity and mortality weekly report"" - [required warnings for cigarette packages and advertisements; final rule]",0,0
