ObjId,DocumentType,DocId,DocketId,Title
090000648172d7c4,Supporting & Related Material,FDA-1995-N-0063-0145,FDA-1995-N-0063,Reference 57 Jensen and Jensen Invited Review Specialty Lipids for Infant Nutrition I. Milks and Formulas
090000648172d766,Supporting & Related Material,FDA-1995-N-0063-0114,FDA-1995-N-0063,Reference 26 No Material Submitted
090000648172d769,Supporting & Related Material,FDA-1995-N-0063-0117,FDA-1995-N-0063,Reference 29 Ronald F Tetzlaff GMP Documentation Requirements for Automated Systems Part 1
090000648172d770,Supporting & Related Material,FDA-1995-N-0063-0121,FDA-1995-N-0063,Reference 33 Salmonella Ealing Inspections Associated with Consumption of Infant Dired Milk
090000648172d7a2,Supporting & Related Material,FDA-1995-N-0063-0125,FDA-1995-N-0063,Reference 37 Farber and Peterkin Listeria Monocytogenes A Food Borne Pathogen
090000648172d7aa,Supporting & Related Material,FDA-1995-N-0063-0133,FDA-1995-N-0063,Reference 45 Jackson et al Control of Salmonellosis and Similar Foodborne Infections
090000648056cbdb,Supporting & Related Material,FDA-1995-N-0063-0007,FDA-1995-N-0063,Background Material from Unknown Submitter
090000648056cbe4,Supporting & Related Material,FDA-1995-N-0063-0008,FDA-1995-N-0063,Background Material from Unknown Submitter
090000648172d767,Supporting & Related Material,FDA-1995-N-0063-0115,FDA-1995-N-0063,Reference 27 IEEE Standard Glossary of Software Engineering Terminology
090000648172d76e,Supporting & Related Material,FDA-1995-N-0063-0119,FDA-1995-N-0063,"Reference 31 Ronald F Tetzlaff GMP Documentation Requirements for Automated Systems Part 3, FDA Inspections of Computerized Laboratory Systems"
090000648172de15,Supporting & Related Material,FDA-1995-N-0063-0155,FDA-1995-N-0063,Reference 69 Shenai et al Nutritional Balance Studies in Very Low-Birth- Weight Infants: Role of Soy Formula
090000648172de16,Supporting & Related Material,FDA-1995-N-0063-0156,FDA-1995-N-0063,Reference 70 Lindroth et al Rickets in Very Low Birthweight Infants
090000648174e748,Supporting & Related Material,FDA-1995-N-0063-0169,FDA-1995-N-0063,Reference 81 Minton et al Bone Mineral Content in Term and Preterm Appropriate-for-Gestational-Age Infants
090000648174e74f,Supporting & Related Material,FDA-1995-N-0063-0176,FDA-1995-N-0063,"Reference 88 Memorandum of Telephone Conversation between Ed puro, FDA, and Mary Hudtloff Dated March 15, 1994"
09000064817368eb,Supporting & Related Material,FDA-1995-N-0063-0051,FDA-1995-N-0063,"Reference 1 - FDA. Current Good Manufacturing Practices, Quality Control Procedures, Quality Factors, Notification Requirements, and Records and Reports, for Infant Formula. Regulatory Impact Analysis for Final Rule - Current Good Manufacturing Practices, Quality Control Procedures, Quality Factors, Notification Requirements, and Records and Reports, for Infant Formula"
090000648172d7c5,Supporting & Related Material,FDA-1995-N-0063-0159,FDA-1995-N-0063,Reference 58 Ziegler et al Cow Milk Feeding in Infancy: Further Observations on Blood Loss from the Gastrointestinal Tract
090000648172d7c7,Supporting & Related Material,FDA-1995-N-0063-0147,FDA-1995-N-0063,Reference 60 Infant Formula Act of 1980 Report by the Committee on Labor and Human Resources United States Senate
090000648056cb0f,Notice,FDA-1995-N-0063-0041,FDA-1995-N-0063,Agency Information Collection Activities: Proposed Collection; Extension
090000648056cb1b,Other,FDA-1995-N-0063-0045,FDA-1995-N-0063,Request for Extension of Comment Period from International Formula Council
090000648056cb75,Supporting & Related Material,FDA-1995-N-0063-0096,FDA-1995-N-0063,Attachment on Basis and Context  of Sample Growth Trial Protocol Comment from International Formula Council
090000648056cb73,Supporting & Related Material,FDA-1995-N-0063-0095,FDA-1995-N-0063,Attachment G Guidelines Concerning Notification and Testing of  Infant Formulas Comment from International Formula Council
090000648056cc22,Supporting & Related Material,FDA-1995-N-0063-0107,FDA-1995-N-0063,Appendix A3 Comment from International Formula Council
090000648056cbd5,Supporting & Related Material,FDA-1995-N-0063-0005,FDA-1995-N-0063,Background Material from Unknown Submitter
090000648172de12,Supporting & Related Material,FDA-1995-N-0063-0160,FDA-1995-N-0063,Reference 66 Koletzko et al Intestinal Milk - Bolus Obstruction in Formula-Fed Premature Infants Given High Doses of Calcium
0900006481822218,Notice,FDA-2008-N-0334-0012,FDA-2008-N-0334,"Postmarketing Safety Reports for Human Drug and Biological Products;
Electronic Submission Requirements; Correction"
0900006482c21dfe,Notice,FDA-2008-N-0334-0016,FDA-2008-N-0334,Agency Information Collection Activities; Proposed Collection; Comment Request; Postmarketing Safety Reports for Human Drug and Biological Products: Electronic Submission Requirements
09000064817358ac,Other,FDA-2008-N-0334-0010,FDA-2008-N-0334,Guidance for Industry Providing Submissions in Electronic Format - Postmarketing Safety Reports-Postmarketing Safety Reports for Human Drug and Biological Products; Electronic Submission Requirements
090000648186336a,Rule,FDA-2008-N-0334-0014,FDA-2008-N-0334,"Postmarketing Safety Reports for Human Drug and Biological Products;
Electronic Submission Requirements; Corrections"
09000064817358ae,Supporting & Related Material,FDA-2008-N-0334-0011,FDA-2008-N-0334,Reference 1 Postmarketing Safety Reports for Human Drug and Biological Products; Electronic Submission Requirements; Final Rule - Administrative Practices and Procedures; Drugs; Labeling; Medical Devices; Reporting and Recordkeeping Requirements; Confidential Business Information; Over-the-counter Drugs; Biologics
09000064818633f4,Rule,FDA-2008-N-0334-0013,FDA-2008-N-0334,"Postmarketing Safety Reports for Human Drug and Biological Products;
Electronic Submission Requirements; Correction"
0900006481734bb1,Rule,FDA-2008-N-0334-0009,FDA-2008-N-0334,"Postmarketing Safety Reports for Human Drug and Biological Products;
Electronic Submission Requirements"
0900006482f06070,Notice,FDA-2008-N-0334-0017,FDA-2008-N-0334,"Agency Information Collection Activities; Submission for Office of
Management and Budget Review; Comment Request; Postmarketing
Safety Reports for Human Drug and Biological Products: Electronic
Submission Requirements"
0900006481b04f02,Rule,FDA-2008-N-0334-0015,FDA-2008-N-0334,"Postmarketing Safety Reports for Human Drug and Biological Products;
Electronic Submission Requirements; Delay of Compliance Date; Safety
Reporting Portal of Electronic Submission of Postmarketing Safety
Reports for Human Drugs and Nonvaccine Biological Products"
0900006480a0f0ed,Proposed Rule,FDA-2008-N-0334-0001,FDA-2008-N-0334,Postmarketing Safety Reports for Human Drug and Biological Products; Electronic Submission Requirements
0900006481fac540,Proposed Rule,FDA-2011-F-0172-0613,FDA-2011-F-0172,"A Labeling Guide for Restaurants and Retail Establishments Selling Away-
From-Home Foods—Part II (Menu Labeling Requirements in Accordance
With the Patient Protection Affordable Care Act of 2010); Guidance for
Industry; Availability"
090000648290aa13,Supporting & Related Material,FDA-2011-F-0172-1762,FDA-2011-F-0172,Article C Flexibility in Font Size re: Comment from Publix
09000064826abbd7,Other,FDA-2011-F-0172-0725,FDA-2011-F-0172,Final Regulatory Impact Analysis on Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments; Extension of Compliance Date and Request for Comments
0900006482963502,Supporting & Related Material,FDA-2011-F-0172-2281,FDA-2011-F-0172,Reference Letter from P. Larkin of NGA concerning pending  Nutrition R 2017-1614...
090000648323dcc8,Rule,FDA-2011-F-0172-2905,FDA-2011-F-0172,Menu Labeling: Supplemental Guidance for Industry; Availability
09000064827b3d3d,Other,FDA-2011-F-0172-1175,FDA-2011-F-0172,Letter Menu Extension to NRA dtd 6-28-2017
0900006480c1aa11,Supporting & Related Material,FDA-2011-F-0172-0049,FDA-2011-F-0172,"Reference 67 - ""U.S. Census Bureau, Sectors 44-45: Sub: Single Unit & Multiunit Firms for the U.S:2007"" - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling:Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments Notice of Proposed Rulemaking re FDA-2011-F-0172-0001]"
0900006480c1aa4a,Supporting & Related Material,FDA-2011-F-0172-0055,FDA-2011-F-0172,"Reference 75 - ""Bureau of Transportation Statistics, Appendix D – Modal Profiles, Rail Profile"" - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling:Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments Notice of Proposed Rulemaking re FDA-2011-F-0172-0001]"
0900006480c197bf,Supporting & Related Material,FDA-2011-F-0172-0024,FDA-2011-F-0172,"Reference List - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling:Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments Notice of Proposed Rulemaking re FDA-2011-F-0172-0001]"
0900006480c1a599,Supporting & Related Material,FDA-2011-F-0172-0017,FDA-2011-F-0172,"Reference 35 - ""Ogden, et al., Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States, Trends 1976–1980 Through 2007–2008"" - [Food Labeling: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail re FDA-2011-F-0172-0001]"
0900006480c1a5a4,Supporting & Related Material,FDA-2011-F-0172-0018,FDA-2011-F-0172,"Reference 44 - ""USDA, ERS, Table 1: Food and Alcoholic Beverages: Total Expenditures,  Food CPI and Expenditures: Food Expenditure Tables"" - [Food Labeling: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail re FDA-2011-F-0172-0001]"
0900006480c1a5aa,Supporting & Related Material,FDA-2011-F-0172-0022,FDA-2011-F-0172,"Reference 50 - ""NPD Group, FDA Report, ReCount Restaurant Census, Spring 2010"" - [Food Labeling: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail re FDA-2011-F-0172-0001]"
0900006480c1a9b5,Supporting & Related Material,FDA-2011-F-0172-0025,FDA-2011-F-0172,"Reference 2 - ""US Census Bureau, County Business Patterns, United States NAICS 722 2000-2008"" - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling:Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments Notice of Proposed Rulemaking re FDA-2011-F-0172-0001]"
0900006480c1a9c7,Supporting & Related Material,FDA-2011-F-0172-0027,FDA-2011-F-0172,"Reference 20 - ""U.S. Department of Health and Human Services and U.S. Department of Agriculture, 2010 Dietary Guidelines for Americans"" - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling:Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments Notice of Proposed Rulemaking re FDA-2011-F-0172-0001]"
0900006480c1a9f3,Supporting & Related Material,FDA-2011-F-0172-0039,FDA-2011-F-0172,"Reference 37 - ""Technomic Inc., FDA Report"" - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling:Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments Notice of Proposed Rulemaking re FDA-2011-F-0172-0001]"
0900006482441831,Supporting & Related Material,FDA-2011-F-0172-0620,FDA-2011-F-0172,"Food Labeling:Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments Final Regulatory Impact Analysis
FDA–2011–F–0172"
0900006482590936,Rule,FDA-2011-F-0172-0621,FDA-2011-F-0172,"Food Labeling; Nutrition Labeling of Standard Menu Items in 
Restaurants and Similar Retail Food Establishments; Extension of 
Compliance Date; Request for Comments"
09000064824412de,Rule,FDA-2011-F-0172-0619,FDA-2011-F-0172,Food Labeling: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments; Extension of Compliance Date
0900006482963506,Supporting & Related Material,FDA-2011-F-0172-2285,FDA-2011-F-0172,Reference LTR to Sec Price re 040717 Menu Labling
090000648197401a,Other,FDA-2011-F-0172-0547,FDA-2011-F-0172,"OMB Executive Order 12866 Regulatory Planning and Review re Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments (Final Rule); Publication Date: December 1, 2014"
0900006480c1cf20,Proposed Rule,FDA-2011-F-0172-0001,FDA-2011-F-0172,Food Labeling: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments
090000648197401f,Supporting & Related Material,FDA-2011-F-0172-0551,FDA-2011-F-0172,"Tab A Menu (FRIA), Draft Regulatory Action as Submitted to the Office of Management and Budget's (OMB) Office of Information and Regulatory Affairs (OIRA) for Review re OMB Executive Order 12866 Regulatory Planning and Review re Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments (Final Rule); Publication Date: December 1, 2014"
0900006481974020,Supporting & Related Material,FDA-2011-F-0172-0552,FDA-2011-F-0172,"Tab B Menu Final Rule Impact Analysis (FRIA) Substantive Changes Between the Draft Submitted to OIRA for Review and the Regulatory Action Subsequently Cleared by OIRA re OMB Executive Order 12866 Regulatory Planning and Review re Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments (Final Rule); Publication Date: December 1, 2014"
090000648195229f,Supporting & Related Material,FDA-2011-F-0172-0537,FDA-2011-F-0172,"Reference 39- FDA, ""Regulatory Procedures Manual,"" chapter 4. re Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments."
09000064819522a0,Supporting & Related Material,FDA-2011-F-0172-0538,FDA-2011-F-0172,"Reference 40 - FDA, ""Regulatory Procedures Manual,"" chapter 6, section 5. re Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments."
0900006480aabaa3,Other,FDA-2008-N-0115-0003,FDA-2008-N-0115,"OMB Review, Executive Order 12866 Published 2/19/2010 - [Reporting Information Regarding Falsification of Data] - Reference"
090000648378011d,Proposed Rule,FDA-2008-N-0115-0050,FDA-2008-N-0115,Use of Materials Derived From Cattle in Medical Products Intended for Use in Humans and Drugs Intended for Use in Ruminants; Reporting Information Regarding Falsification of Data
0900006480aa8374,Proposed Rule,FDA-2008-N-0115-0001,FDA-2008-N-0115,Reporting Information Regarding Falsification of Data
09000064805d46ca,Supporting & Related Material,FDA-1997-D-0494-0001,FDA-1997-D-0494,See FDA-1997-D-0494-0002
0900006480900aec,Notice,FDA-1997-D-0494-0002,FDA-1997-D-0494,Guidance for FDA and Industry: Direct Final Rule Procedures
0900006480900ab4,Other,FDA-1997-D-0494-0003,FDA-1997-D-0494,Guidance for FDA Industry Direct Final Rule Procedures; Guidance Document
0900006480ead32d,Supporting & Related Material,FDA-2010-N-0568-0266,FDA-2010-N-0568,"Reference 38 - ""Farber, et at, ""Secondhand Tobacco Smoke in Children With Asthma: Sources of and Parental Perceptions About Exposure in Children and Parental Readiness to Change"" - [Required Warnings for Cigarette Packages and Advertisements; Final Rule]"
0900006480eb4ab6,Supporting & Related Material,FDA-2010-N-0568-0693,FDA-2010-N-0568,"Reference 66 - ""Fiore, M.C., Jaen C.R., Baker T.R, et al., Treating Tobacco Use and Dependence: 2008 Update, Rockville, MD: U.S. Department of Health and Human Services, Public Health Service"" - [Required Warnings for Cigarette Packages and Advertisements; Final Rule]"
0900006480eb61e0,Supporting & Related Material,FDA-2010-N-0568-0735,FDA-2010-N-0568,"Reference 167 - ""U.S. Department of the Treasury, Daily Treasury Long-Term Rate Data, Daily Treasury Real Long- Term Rates"" - [Required Warnings for Cigarette Packages and Advertisements; Final Rule]"
0900006480eb5d6a,Supporting & Related Material,FDA-2010-N-0568-0708,FDA-2010-N-0568,"Reference 128 - ""National Center for Health Statistics (U.S. Department of Health and Human Services), National Health Interview Survey: Questionnaires, Datasets and Related Documentation, 1997 to the Present"" - [Required Warnings for Cigarette Packages and Advertisements; Final Rule]"
